label,person,P21,gender,relation
Stefan Edberg,Q189542,Q6581097,male,geographicalRelation
Stefan Edberg,Q189542,Q6581097,male,participated
Bernd Karbacher,Q73280,Q6581097,male,participated
Bernd Karbacher,Q73280,Q6581097,male,geographicalRelation
Andre Agassi,Q7407,Q6581097,male,position-held
MaliVai Washington,Q54691,Q6581097,male,position-held
MaliVai Washington,Q54691,Q6581097,male,position-held
Jeff Tarango,Q957450,Q6581097,male,participated
Jeff Tarango,Q957450,Q6581097,male,position-held
Leander Paes,Q296282,Q6581097,male,participated
Leander Paes,Q296282,Q6581097,male,geographicalRelation
Randall Cunningham,Q142656,Q6581097,male,position-held
Jesper Parnevik,Q1688112,Q6581097,male,geographicalRelation
Tiger Woods,Q10993,Q6581097,male,position-held
Nolan Henke,Q7048193,Q6581097,male,position-held
Joseph Conrad,Q82925,Q6581097,male,contributes
Charles Villiers Stanford,Q368264,Q6581097,male,contributes
Timothy Leary,Q211731,Q6581097,male,position-held
Bob Dylan,Q392,Q6581097,male,position-held
Alfonso Cuarón,Q28028,Q6581097,male,contributes
Nikola Tesla,Q9036,Q6581097,male,member
Philip K. Dick,Q171091,Q6581097,male,contributes
Horace,Q6197,Q6581097,male,member
Bernard Miles,Q822610,Q6581097,male,position-held
Albert Einstein,Q937,Q6581097,male,geographicalRelation
Charlie Chaplin,Q882,Q6581097,male,relationship
Charlie Chaplin,Q882,Q6581097,male,member
Charlie Chaplin,Q882,Q6581097,male,member
Jeroboam II,Q313232,Q6581097,male,participated
Jeroboam II,Q313232,Q6581097,male,position-held
Uzziah,Q313216,Q6581097,male,participated
Uzziah,Q313216,Q6581097,male,position-held
Ingrid Bergman,Q43247,Q6581072,female,contributes
Ingrid Bergman,Q43247,Q6581072,female,position-held
Sandrine Bonnaire,Q232937,Q6581072,female,position-held
Bruno Ganz,Q123206,Q6581097,male,position-held
Mario Puzo,Q182870,Q6581097,male,participated
Mario Puzo,Q182870,Q6581097,male,participated
John F. Kennedy,Q9696,Q6581097,male,participated
John F. Kennedy,Q9696,Q6581097,male,geographicalRelation
John F. Kennedy,Q9696,Q6581097,male,position-held
Hans Kmoch,Q517908,Q6581097,male,opposite
Hans Kmoch,Q517908,Q6581097,male,position-held
Virgil,Q1398,Q6581097,male,member
Averroes,Q39837,Q6581097,male,member
Homer,Q6691,Q6581097,male,member
Homer,Q6691,Q6581097,male,member
Homer,Q6691,Q6581097,male,relationship
Homer,Q6691,Q6581097,male,relationship
Homer,Q6691,Q6581097,male,relationship
Ovid,Q7198,Q6581097,male,member
Lucan,Q188646,Q6581097,male,member
Socrates,Q913,Q6581097,male,member
Plato,Q859,Q6581097,male,member
Saladin,Q8581,Q6581097,male,member
Nicky Henson,Q15497351,Q6581097,male,position-held
Nicky Henson,Q15497351,Q6581097,male,contributes
Nicky Henson,Q15497351,Q6581097,male,position-held
Nicky Henson,Q15497351,Q6581097,male,contributes
Toby Jones,Q342419,Q6581097,male,position-held
Toby Jones,Q342419,Q6581097,male,contributes
Toby Jones,Q342419,Q6581097,male,position-held
Toby Jones,Q342419,Q6581097,male,contributes
Ralph Ineson,Q1272489,Q6581097,male,position-held
Ralph Ineson,Q1272489,Q6581097,male,contributes
Ralph Ineson,Q1272489,Q6581097,male,position-held
Ralph Ineson,Q1272489,Q6581097,male,contributes
Luchino Visconti,Q13888,Q6581097,male,position-held
Burt Lancaster,Q160528,Q6581097,male,position-held
Alain Delon,Q106529,Q6581097,male,position-held
Claudia Cardinale,Q107006,Q6581072,female,position-held
Tom Tykwer,Q57231,Q6581097,male,position-held
Belisarius,Q174943,Q6581097,male,topic
Belisarius,Q174943,Q6581097,male,geographicalRelation
Pope Innocent II,Q170386,Q6581097,male,position-held
Pope Innocent II,Q170386,Q6581097,male,position-held
Pope Innocent II,Q170386,Q6581097,male,position-held
Pope Innocent II,Q170386,Q6581097,male,position-held
Pope Innocent II,Q170386,Q6581097,male,position-held
Pope Innocent II,Q170386,Q6581097,male,position-held
Pope Innocent II,Q170386,Q6581097,male,opposite
Christopher Marlowe,Q28975,Q6581097,male,position-held
Paul Newman,Q41871,Q6581097,male,position-held
Bernard Crick,Q2897748,Q6581097,male,position-held
Leslie Caron,Q230023,Q6581072,female,position-held
Louis Jourdan,Q364083,Q6581097,male,position-held
Maurice Chevalier,Q106001,Q6581097,male,position-held
George W. Bush,Q207,Q6581097,male,position-held
George W. Bush,Q207,Q6581097,male,contributes
Augustus,Q1405,Q6581097,male,participated
Augustus,Q1405,Q6581097,male,participated
Augustus,Q1405,Q6581097,male,participated
Augustus,Q1405,Q6581097,male,participated
Augustus,Q1405,Q6581097,male,participated
Augustus,Q1405,Q6581097,male,position-held
Augustus,Q1405,Q6581097,male,position-held
Augustus,Q1405,Q6581097,male,geographicalRelation
Augustus,Q1405,Q6581097,male,opposite
Augustus,Q1405,Q6581097,male,geographicalRelation
Augustus,Q1405,Q6581097,male,position-held
Augustus,Q1405,Q6581097,male,position-held
Allan Gotthelf,Q4730637,Q6581097,male,contributes
Allan Gotthelf,Q4730637,Q6581097,male,position-held
David Kelley,Q5235902,Q6581097,male,contributes
David Kelley,Q5235902,Q6581097,male,position-held
David Kelley,Q5235902,Q6581097,male,opposite
Eric Stoltz,Q318267,Q6581097,male,position-held
Terence Davies,Q773523,Q6581097,male,position-held
Johnny Gruelle,Q6266817,Q6581097,male,contributes
Kenneth Branagh,Q55294,Q6581097,male,geographicalRelation
Kenneth Branagh,Q55294,Q6581097,male,participated
Adolf Hitler,Q352,Q6581097,male,member
Adolf Hitler,Q352,Q6581097,male,geographicalRelation
Adolf Hitler,Q352,Q6581097,male,geographicalRelation
James Wilby,Q652715,Q6581097,male,position-held
James Wilby,Q652715,Q6581097,male,contributes
Jonathan Pryce,Q312702,Q6581097,male,position-held
Jonathan Pryce,Q312702,Q6581097,male,member
Eupolemus,Q3362836,Q6581097,male,member
Eupolemus,Q3362836,Q6581097,male,geographicalRelation
Moses,Q9077,Q6581097,male,position-held
Moses,Q9077,Q6581097,male,equivalent-to
Moses,Q9077,Q6581097,male,contributes
Chaim Weizmann,Q172183,Q6581097,male,position-held
Boris Barnet,Q203519,Q6581097,male,member
Sergei Parajanov,Q311311,Q6581097,male,member
Alexander Dovzhenko,Q55198,Q6581097,male,member
Bill Clinton,Q1124,Q6581097,male,position-held
Johnny Cash,Q42775,Q6581097,male,contributes
Johnny Cash,Q42775,Q6581097,male,contributes
Johnny Cash,Q42775,Q6581097,male,participated
Earl Scruggs,Q74032,Q6581097,male,position-held
Apuleius,Q170512,Q6581097,male,geographicalRelation
Apuleius,Q170512,Q6581097,male,equivalent-to
Apuleius,Q170512,Q6581097,male,equivalent-to
Septimius Severus,Q1442,Q6581097,male,equivalent-to
Wes Anderson,Q223687,Q6581097,male,contributes
Jason Schwartzman,Q313705,Q6581097,male,position-held
Adrien Brody,Q104514,Q6581097,male,position-held
Warren Lewis,Q3038321,Q6581097,male,member
Warren Lewis,Q3038321,Q6581097,male,position-held
Robert Knox,Q352109,Q6581097,male,equivalent-to
Robert Knox,Q352109,Q6581097,male,position-held
Robert Knox,Q352109,Q6581097,male,contributes
Rajasinha II of Kandy,Q3454159,Q6581097,male,position-held
Rajasinha II of Kandy,Q3454159,Q6581097,male,geographicalRelation
Rajasinha II of Kandy,Q3454159,Q6581097,male,position-held
Albert Gallatin,Q500046,Q6581097,male,position-held
Claude Rains,Q318734,Q6581097,male,contributes
Claude Rains,Q318734,Q6581097,male,position-held
Bal Thackeray,Q61193,Q6581097,male,position-held
Bal Thackeray,Q61193,Q6581097,male,position-held
Bal Thackeray,Q61193,Q6581097,male,geographicalRelation
Arthur Miller,Q80596,Q6581097,male,position-held
Vijayachandra,Q27619950,Q6581097,male,relationship
Jayachandra,Q6123506,Q6581097,male,relationship
Kim Novak,Q212879,Q6581072,female,position-held
Eva Marie Saint,Q228928,Q6581072,female,position-held
Tony Blair,Q9545,Q6581097,male,equivalent-to
Grete Trakl,Q18563278,Q6581072,female,relationship
Donald Cammell,Q975488,Q6581097,male,contributes
Nicolas Roeg,Q51541,Q6581097,male,contributes
Ned Kelly,Q301816,Q6581097,male,position-held
Ned Kelly,Q301816,Q6581097,male,equivalent-to
Ned Kelly,Q301816,Q6581097,male,contributes
George Washington,Q23,Q6581097,male,position-held
Margaret of Valois,Q220845,Q6581072,female,position-held
Rod Taylor,Q308459,Q6581097,male,member
Rod Taylor,Q308459,Q6581097,male,position-held
Allan Massie,Q530321,Q6581097,male,position-held
Allan Massie,Q530321,Q6581097,male,position-held
Helen C. White,Q16005909,Q6581072,female,position-held
Pliny the Elder,Q82778,Q6581097,male,contributes
Sennacherib,Q207140,Q6581097,male,equivalent-to
Sennacherib,Q207140,Q6581097,male,geographicalRelation
John Milius,Q83859,Q6581097,male,contributes
Brion James,Q723780,Q6581097,male,equivalent-to
Brion James,Q723780,Q6581097,male,contributes
Joanna Cassidy,Q236702,Q6581072,female,equivalent-to
Joanna Cassidy,Q236702,Q6581072,female,contributes
Lee Sedol,Q486559,Q6581097,male,participated
Lee Sedol,Q486559,Q6581097,male,participated
Sakichi Toyoda,Q137727,Q6581097,male,contributes
Mamie Van Doren,Q264596,Q6581072,female,position-held
Pinky Lee,Q7196241,Q6581097,male,position-held
Sean Young,Q230736,Q6581072,female,position-held
Sean Young,Q230736,Q6581072,female,equivalent-to
Sean Young,Q230736,Q6581072,female,contributes
Hampton Fancher,Q1372703,Q6581097,male,equivalent-to
Hampton Fancher,Q1372703,Q6581097,male,contributes
Michael Deeley,Q656655,Q6581097,male,position-held
Manuel Toharia,Q2885212,Q6581097,male,geographicalRelation
Manuel Toharia,Q2885212,Q6581097,male,position-held
Manuel Toharia,Q2885212,Q6581097,male,position-held
Mick Foley,Q10731,Q6581097,male,position-held
Paul J. McAuley,Q187085,Q6581097,male,contributes
Lester del Rey,Q684748,Q6581097,male,contributes
Fernando Lamas,Q1146217,Q6581097,male,position-held
Arlene Dahl,Q447879,Q6581072,female,position-held
David Arquette,Q294185,Q6581097,male,position-held
Elizabeth Berkley,Q129831,Q6581072,female,position-held
Thomas Jane,Q18938,Q6581097,male,position-held
Norman McLaren,Q716552,Q6581097,male,position-held
Norman McLaren,Q716552,Q6581097,male,position-held
Norman McLaren,Q716552,Q6581097,male,position-held
J. Michael Straczynski,Q126941,Q6581097,male,contributes
Yukimasa Kishino,Q3573163,Q6581097,male,contributes
Yukimasa Kishino,Q3573163,Q6581097,male,position-held
Akio Ōtsuka,Q418649,Q6581097,male,contributes
Akio Ōtsuka,Q418649,Q6581097,male,position-held
Jūrōta Kosugi,Q1187760,Q6581097,male,contributes
Jūrōta Kosugi,Q1187760,Q6581097,male,position-held
Fumiko Orikasa,Q49547,Q6581072,female,contributes
Fumiko Orikasa,Q49547,Q6581072,female,position-held
Fumihiko Tachiki,Q1142856,Q6581097,male,contributes
Fumihiko Tachiki,Q1142856,Q6581097,male,position-held
Masaaki Tsukada,Q1625322,Q6581097,male,contributes
Masaaki Tsukada,Q1625322,Q6581097,male,position-held
Billy the Kid,Q44200,Q6581097,male,geographicalRelation
John Chisum,Q1383899,Q6581097,male,geographicalRelation
Lawrence Murphy,Q6374029,Q6581097,male,geographicalRelation
Lawrence Murphy,Q6374029,Q6581097,male,opposite
Lawrence Murphy,Q6374029,Q6581097,male,opposite
Gavrilo Princip,Q80492,Q6581097,male,position-held
Gavrilo Princip,Q80492,Q6581097,male,position-held
Gavrilo Princip,Q80492,Q6581097,male,geographicalRelation
Trifko Grabež,Q964414,Q6581097,male,position-held
Trifko Grabež,Q964414,Q6581097,male,position-held
Trifko Grabež,Q964414,Q6581097,male,geographicalRelation
Gwen Cooper,Q508160,Q6581072,female,member
Gwen Cooper,Q508160,Q6581072,female,contributes
Gwen Cooper,Q508160,Q6581072,female,position-held
Eve Myles,Q254876,Q6581072,female,contributes
Eve Myles,Q254876,Q6581072,female,position-held
Eve Myles,Q254876,Q6581072,female,equivalent-to
Ianto Jones,Q3147354,Q6581097,male,member
Ianto Jones,Q3147354,Q6581097,male,contributes
Ianto Jones,Q3147354,Q6581097,male,position-held
Gareth David-Lloyd,Q934461,Q6581097,male,contributes
Gareth David-Lloyd,Q934461,Q6581097,male,position-held
Tommy Knight,Q3129345,Q6581097,male,contributes
Tommy Knight,Q3129345,Q6581097,male,position-held
Alexander Armstrong,Q2833080,Q6581097,male,contributes
Alexander Armstrong,Q2833080,Q6581097,male,position-held
Alexander Armstrong,Q2833080,Q6581097,male,equivalent-to
Tom Gehrels,Q312255,Q6581097,male,geographicalRelation
Tom Gehrels,Q312255,Q6581097,male,equivalent-to
Tom Gehrels,Q312255,Q6581097,male,geographicalRelation
Jack Splash,Q1677212,Q6581097,male,position-held
Shea Taylor,Q7492149,Q6581097,male,position-held
Lamont Dozier,Q2701959,Q6581097,male,position-held
Pharrell Williams,Q14313,Q6581097,male,position-held
Tracy Bond,Q2130544,Q6581072,female,member
Tracy Bond,Q2130544,Q6581072,female,contributes
Tracy Bond,Q2130544,Q6581072,female,position-held
Diana Rigg,Q232876,Q6581072,female,contributes
Diana Rigg,Q232876,Q6581072,female,position-held
Ilse Steppat,Q63586,Q6581072,female,contributes
Ilse Steppat,Q63586,Q6581072,female,position-held
John Tunstall,Q2001011,Q6581097,male,opposite
John Tunstall,Q2001011,Q6581097,male,opposite
Michele Besso,Q124446,Q6581097,male,relationship
Stephen Samuel Wise,Q1636973,Q6581097,male,relationship
Oliver Coleman,Q6050046,Q6581097,male,relationship
Walter Dyett,Q347481,Q6581097,male,relationship
Adjoa Andoh,Q2824489,Q6581072,female,position-held
Adjoa Andoh,Q2824489,Q6581072,female,contributes
Penelope Wilton,Q544165,Q6581072,female,position-held
Penelope Wilton,Q544165,Q6581072,female,contributes
Martha Jones,Q2526905,Q6581072,female,contributes
Martha Jones,Q2526905,Q6581072,female,opposite
Martha Jones,Q2526905,Q6581072,female,position-held
Martha Jones,Q2526905,Q6581072,female,contributes
Martha Jones,Q2526905,Q6581072,female,relationship
Martha Jones,Q2526905,Q6581072,female,opposite
Martha Jones,Q2526905,Q6581072,female,position-held
Harriet Jones,Q3127739,Q6581072,female,position-held
Harriet Jones,Q3127739,Q6581072,female,relationship
Harriet Jones,Q3127739,Q6581072,female,contributes
George Hearn,Q2625337,Q6581097,male,position-held
Angela Lansbury,Q206856,Q6581072,female,position-held
Otto Heckmann,Q62016,Q6581097,male,position-held
Tenth Doctor,Q2656347,Q6581097,male,relationship
Tenth Doctor,Q2656347,Q6581097,male,relationship
Tenth Doctor,Q2656347,Q6581097,male,member
Tenth Doctor,Q2656347,Q6581097,male,contributes
Tenth Doctor,Q2656347,Q6581097,male,position-held
David Tennant,Q214601,Q6581097,male,contributes
David Tennant,Q214601,Q6581097,male,position-held
David Tennant,Q214601,Q6581097,male,contributes
David Tennant,Q214601,Q6581097,male,position-held
Donna Noble,Q2987625,Q6581072,female,contributes
Donna Noble,Q2987625,Q6581072,female,opposite
Donna Noble,Q2987625,Q6581072,female,position-held
Donna Noble,Q2987625,Q6581072,female,contributes
Donna Noble,Q2987625,Q6581072,female,position-held
Catherine Tate,Q254766,Q6581072,female,contributes
Catherine Tate,Q254766,Q6581072,female,position-held
Catherine Tate,Q254766,Q6581072,female,contributes
Catherine Tate,Q254766,Q6581072,female,position-held
Jack Harkness,Q561140,Q6581097,male,contributes
Jack Harkness,Q561140,Q6581097,male,opposite
Jack Harkness,Q561140,Q6581097,male,position-held
John Barrowman,Q24632,Q6581097,male,contributes
John Barrowman,Q24632,Q6581097,male,position-held
Freema Agyeman,Q234430,Q6581072,female,contributes
Freema Agyeman,Q234430,Q6581072,female,position-held
Freema Agyeman,Q234430,Q6581072,female,contributes
Freema Agyeman,Q234430,Q6581072,female,position-held
Sarah Jane Smith,Q587725,Q6581072,female,contributes
Sarah Jane Smith,Q587725,Q6581072,female,opposite
Sarah Jane Smith,Q587725,Q6581072,female,position-held
Sarah Jane Smith,Q587725,Q6581072,female,contributes
Sarah Jane Smith,Q587725,Q6581072,female,relationship
Sarah Jane Smith,Q587725,Q6581072,female,opposite
Sarah Jane Smith,Q587725,Q6581072,female,position-held
Elisabeth Sladen,Q234539,Q6581072,female,contributes
Elisabeth Sladen,Q234539,Q6581072,female,position-held
Elisabeth Sladen,Q234539,Q6581072,female,contributes
Elisabeth Sladen,Q234539,Q6581072,female,position-held
Rose Tyler,Q2071982,Q6581072,female,contributes
Rose Tyler,Q2071982,Q6581072,female,opposite
Rose Tyler,Q2071982,Q6581072,female,position-held
Rose Tyler,Q2071982,Q6581072,female,contributes
Rose Tyler,Q2071982,Q6581072,female,position-held
Billie Piper,Q151113,Q6581072,female,contributes
Billie Piper,Q151113,Q6581072,female,position-held
Billie Piper,Q151113,Q6581072,female,contributes
Billie Piper,Q151113,Q6581072,female,position-held
Richard E. Grant,Q380856,Q6581097,male,contributes
Richard E. Grant,Q380856,Q6581097,male,position-held
Jim Broadbent,Q185079,Q6581097,male,position-held
Jim Broadbent,Q185079,Q6581097,male,contributes
Jim Broadbent,Q185079,Q6581097,male,position-held
Hugh Grant,Q163286,Q6581097,male,contributes
Hugh Grant,Q163286,Q6581097,male,position-held
Joanna Lumley,Q254886,Q6581072,female,contributes
Joanna Lumley,Q254886,Q6581072,female,position-held
Claudia Black,Q229225,Q6581072,female,position-held
Claudia Black,Q229225,Q6581072,female,position-held
Claudia Black,Q229225,Q6581072,female,contributes
Virginia Hey,Q275502,Q6581072,female,position-held
Virginia Hey,Q275502,Q6581072,female,position-held
Virginia Hey,Q275502,Q6581072,female,contributes
Greg P. Russell,Q1305465,Q6581097,male,position-held
Lee Orloff,Q2506653,Q6581097,male,position-held
Tennessee Williams,Q134262,Q6581097,male,position-held
Georg Joos,Q90697,Q6581097,male,position-held
Otto Scherzer,Q107545,Q6581097,male,position-held
Shulamit Aloni,Q267335,Q6581072,female,position-held
Yann Fouéré,Q2571747,Q6581097,male,position-held
Yann Fouéré,Q2571747,Q6581097,male,is-a
Alan Heusaff,Q2830523,Q6581097,male,position-held
Alan Heusaff,Q2830523,Q6581097,male,is-a
Peter Berresford Ellis,Q1727806,Q6581097,male,position-held
Richard Nixon,Q9588,Q6581097,male,geographicalRelation
Allan Nevins,Q3380712,Q6581097,male,contributes
Pete Wilson,Q714909,Q6581097,male,position-held
Carroll Clark,Q458833,Q6581097,male,position-held
Van Nest Polglase,Q1474823,Q6581097,male,position-held
Hermes Pan,Q927824,Q6581097,male,position-held
Hermes Pan,Q927824,Q6581097,male,contributes
Hermes Pan,Q927824,Q6581097,male,contributes
Gregory Peck,Q108366,Q6581097,male,position-held
Antonia Apodaca,Q17385586,Q6581072,female,member
Holly Holliday,Q3139387,Q6581072,female,position-held
Holly Holliday,Q3139387,Q6581072,female,contributes
Holly Holliday,Q3139387,Q6581072,female,member
James Cagney,Q94041,Q6581097,male,participated
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,position-held
Barney Bubbles,Q2062642,Q6581097,male,contributes
George Lucas,Q38222,Q6581097,male,position-held
Willard Huyck,Q1383657,Q6581097,male,position-held
Gloria Katz,Q133631,Q6581072,female,position-held
Candy Clark,Q40067,Q6581072,female,position-held
Verna Fields,Q2517245,Q6581072,female,position-held
Michael Jackson,Q2831,Q6581097,male,position-held
Michael Jackson,Q2831,Q6581097,male,member
Bob Marley,Q409,Q6581097,male,relationship
Robert De Niro,Q36949,Q6581097,male,position-held
Nick Grimshaw,Q547486,Q6581097,male,geographicalRelation
Rita Ora,Q229760,Q6581072,female,geographicalRelation
Paolo Nutini,Q313704,Q6581097,male,geographicalRelation
Constanța Burcică,Q267577,Q6581072,female,participated
Constanța Burcică,Q267577,Q6581072,female,participated
Ricky Martin,Q128799,Q6581097,male,member
Ricky Martin,Q128799,Q6581097,male,position-held
Justin Timberlake,Q43432,Q6581097,male,member
Justin Timberlake,Q43432,Q6581097,male,position-held
Ronan Keating,Q311467,Q6581097,male,member
Ronan Keating,Q311467,Q6581097,male,position-held
Ivan Mladina,Q6097015,Q6581097,male,geographicalRelation
Ivan Mladina,Q6097015,Q6581097,male,geographicalRelation
Ivan Mladina,Q6097015,Q6581097,male,position-held
Tim Burton,Q56008,Q6581097,male,geographicalRelation
Tim Burton,Q56008,Q6581097,male,participated
Tim Burton,Q56008,Q6581097,male,contributes
Tim Burton,Q56008,Q6581097,male,contributes
Evan Lysacek,Q299225,Q6581097,male,usage
Evan Lysacek,Q299225,Q6581097,male,participated
Walter Huston,Q162621,Q6581097,male,position-held
George Amy,Q1255794,Q6581097,male,position-held
Diane Keaton,Q102642,Q6581072,female,participated
Diane Keaton,Q102642,Q6581072,female,position-held
Diane Keaton,Q102642,Q6581072,female,equivalent-to
Woody Allen,Q25089,Q6581097,male,participated
Lucian K. Truscott IV,Q16116980,Q6581097,male,position-held
Francis Ford Coppola,Q56094,Q6581097,male,position-held
Sara Ramirez,Q40069,Q48270,non_binary,contributes
Sara Ramirez,Q40069,Q48270,non_binary,position-held
Tigran Chukhajian,Q1382028,Q6581097,male,contributes
Tigran Chukhajian,Q1382028,Q6581097,male,equivalent-to
Jimi Hendrix,Q5928,Q6581097,male,equivalent-to
Simon Fuller,Q367691,Q6581097,male,position-held
Simon Fuller,Q367691,Q6581097,male,position-held
Simon Fuller,Q367691,Q6581097,male,position-held
Simon Fuller,Q367691,Q6581097,male,position-held
Simon Fuller,Q367691,Q6581097,male,position-held
Simon Fuller,Q367691,Q6581097,male,position-held
Simon Fuller,Q367691,Q6581097,male,position-held
Simon Fuller,Q367691,Q6581097,male,position-held
Lawrence Turman,Q370417,Q6581097,male,position-held
Dustin Hoffman,Q42930,Q6581097,male,position-held
Anne Bancroft,Q183532,Q6581072,female,position-held
Katharine Ross,Q232837,Q6581072,female,position-held
Buck Henry,Q999332,Q6581097,male,position-held
Calder Willingham,Q459230,Q6581097,male,position-held
Janis Joplin,Q1514,Q6581072,female,member
Janis Joplin,Q1514,Q6581072,female,member
Beyoncé,Q36153,Q6581072,female,position-held
Rihanna,Q36844,Q6581072,female,position-held
Cheryl Cohen-Greene,Q5092714,Q6581072,female,position-held
Cheryl Cohen-Greene,Q5092714,Q6581072,female,contributes
Cheryl Cohen-Greene,Q5092714,Q6581072,female,member
Cole Porter,Q215120,Q6581097,male,position-held
Mark Elder,Q328718,Q6581097,male,position-held
Sebastián Piñera,Q306,Q6581097,male,participated
Milt Gabler,Q145823,Q6581097,male,relationship
Milt Gabler,Q145823,Q6581097,male,position-held
Milt Gabler,Q145823,Q6581097,male,position-held
Edward af Sillén,Q5346042,Q6581097,male,position-held
Igor Shkvyrin,Q1659177,Q6581097,male,equivalent-to
Hassan Abbas,Q5679524,Q6581097,male,opposite
Hassan Abbas,Q5679524,Q6581097,male,position-held
