person,FormerColony,label,relation
Q8581,1,Saladin,member
Q342419,0,Toby Jones,position-held
Q342419,0,Toby Jones,contributes
Q342419,0,Toby Jones,position-held
Q342419,0,Toby Jones,contributes
Q342419,0,Toby Jones,position-held
Q342419,0,Toby Jones,contributes
Q342419,0,Toby Jones,position-held
Q342419,0,Toby Jones,contributes
Q1272489,0,Ralph Ineson,position-held
Q1272489,0,Ralph Ineson,contributes
Q1272489,0,Ralph Ineson,position-held
Q1272489,0,Ralph Ineson,contributes
Q1272489,0,Ralph Ineson,position-held
Q1272489,0,Ralph Ineson,contributes
Q1272489,0,Ralph Ineson,position-held
Q1272489,0,Ralph Ineson,contributes
Q13888,0,Luchino Visconti,position-held
Q106529,0,Alain Delon,position-held
Q107006,1,Claudia Cardinale,position-held
Q57231,0,Tom Tykwer,position-held
Q174943,0,Belisarius,topic
Q174943,0,Belisarius,geographicalRelation
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,position-held
Q170386,0,Pope Innocent II,opposite
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,opposite
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,opposite
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,opposite
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,participated
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,opposite
Q1405,0,Augustus,geographicalRelation
Q1405,0,Augustus,position-held
Q1405,0,Augustus,position-held
Q28975,0,Christopher Marlowe,position-held
Q41871,0,Paul Newman,position-held
Q5235902,0,David Kelley,contributes
Q5235902,0,David Kelley,position-held
Q5235902,0,David Kelley,opposite
Q5235902,0,David Kelley,contributes
Q5235902,0,David Kelley,position-held
Q5235902,0,David Kelley,opposite
Q230023,0,Leslie Caron,position-held
Q364083,0,Louis Jourdan,position-held
Q106001,0,Maurice Chevalier,position-held
Q484779,0,Luc Besson,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q207,0,George W. Bush,position-held
Q207,0,George W. Bush,contributes
Q16005909,0,Helen C. White,position-held
Q1111386,0,Robert Moses,topic
Q1111386,0,Robert Moses,equivalent-to
Q1111386,0,Robert Moses,topic
Q1111386,0,Robert Moses,equivalent-to
Q4730637,0,Allan Gotthelf,contributes
Q4730637,0,Allan Gotthelf,position-held
Q1474823,0,Van Nest Polglase,position-held
Q1255794,0,George Amy,position-held
Q5480583,0,Joseph Papp,contributes
Q318267,0,Eric Stoltz,position-held
Q773523,0,Terence Davies,position-held
Q234539,0,Elisabeth Sladen,contributes
Q234539,0,Elisabeth Sladen,position-held
Q234539,0,Elisabeth Sladen,contributes
Q234539,0,Elisabeth Sladen,position-held
Q234539,0,Elisabeth Sladen,contributes
Q234539,0,Elisabeth Sladen,position-held
Q234539,0,Elisabeth Sladen,contributes
Q234539,0,Elisabeth Sladen,position-held
Q3528697,0,Tim Stimpson,position-held
Q3528697,0,Tim Stimpson,member
Q3528697,0,Tim Stimpson,position-held
Q3528697,0,Tim Stimpson,geographicalRelation
Q3528697,0,Tim Stimpson,position-held
Q3528697,0,Tim Stimpson,member
Q3528697,0,Tim Stimpson,position-held
Q3528697,0,Tim Stimpson,geographicalRelation
Q7639958,0,Sunetra Sarker,position-held
Q7639958,0,Sunetra Sarker,position-held
Q6266817,0,Johnny Gruelle,contributes
Q6266817,0,Johnny Gruelle,contributes
Q352,0,Adolf Hitler,member
Q352,0,Adolf Hitler,geographicalRelation
Q352,0,Adolf Hitler,geographicalRelation
Q352,0,Adolf Hitler,member
Q352,0,Adolf Hitler,geographicalRelation
Q352,0,Adolf Hitler,geographicalRelation
Q652715,1,James Wilby,position-held
Q652715,1,James Wilby,contributes
Q312702,0,Jonathan Pryce,position-held
Q312702,0,Jonathan Pryce,member
Q172183,0,Chaim Weizmann,position-held
Q311311,1,Sergei Parajanov,member
Q55198,0,Alexander Dovzhenko,member
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q1124,0,Bill Clinton,position-held
Q74032,0,Earl Scruggs,position-held
Q74032,0,Earl Scruggs,position-held
Q74032,0,Earl Scruggs,position-held
Q170512,1,Apuleius,geographicalRelation
Q170512,1,Apuleius,equivalent-to
Q170512,1,Apuleius,equivalent-to
Q170512,1,Apuleius,geographicalRelation
Q170512,1,Apuleius,equivalent-to
Q170512,1,Apuleius,equivalent-to
Q223687,0,Wes Anderson,contributes
Q36153,0,Beyoncé,position-held
Q36153,0,Beyoncé,position-held
Q36153,0,Beyoncé,position-held
Q241701,0,Ann Miller,position-held
Q257271,0,Loretta Devine,contributes
Q257271,0,Loretta Devine,position-held
Q40090,0,Chandra Wilson,contributes
Q40090,0,Chandra Wilson,relationship
Q40090,0,Chandra Wilson,position-held
Q316647,0,Randy Quaid,position-held
Q231228,0,Solange Knowles,position-held
Q104514,0,Adrien Brody,position-held
Q352109,0,Robert Knox,equivalent-to
Q352109,0,Robert Knox,position-held
Q352109,0,Robert Knox,contributes
Q9545,0,Tony Blair,equivalent-to
Q9545,0,Tony Blair,equivalent-to
Q975488,0,Donald Cammell,contributes
Q975488,0,Donald Cammell,contributes
Q3454159,1,Rajasinha II of Kandy,position-held
Q3454159,1,Rajasinha II of Kandy,geographicalRelation
Q3454159,1,Rajasinha II of Kandy,position-held
Q500046,0,Albert Gallatin,position-held
Q318734,0,Claude Rains,contributes
Q318734,0,Claude Rains,position-held
Q61193,1,Bal Thackeray,position-held
Q61193,1,Bal Thackeray,position-held
Q61193,1,Bal Thackeray,geographicalRelation
Q6123506,1,Jayachandra,relationship
Q228928,0,Eva Marie Saint,position-held
Q294927,0,Jerry Lewis,position-held
Q18563278,0,Grete Trakl,relationship
Q51541,0,Nicolas Roeg,contributes
Q51541,0,Nicolas Roeg,contributes
Q301816,0,Ned Kelly,position-held
Q301816,0,Ned Kelly,equivalent-to
Q301816,0,Ned Kelly,contributes
Q23,0,George Washington,position-held
Q23,0,George Washington,position-held
Q220845,0,Margaret of Valois,position-held
Q207140,1,Sennacherib,equivalent-to
Q207140,1,Sennacherib,geographicalRelation
Q723780,0,Brion James,equivalent-to
Q723780,0,Brion James,contributes
Q236702,0,Joanna Cassidy,equivalent-to
Q236702,0,Joanna Cassidy,contributes
Q486559,1,Lee Sedol,participated
Q486559,1,Lee Sedol,participated
Q137727,0,Sakichi Toyoda,contributes
Q264596,0,Mamie Van Doren,position-held
Q7196241,0,Pinky Lee,position-held
Q230736,0,Sean Young,position-held
Q230736,0,Sean Young,equivalent-to
Q230736,0,Sean Young,contributes
Q230736,0,Sean Young,position-held
Q230736,0,Sean Young,equivalent-to
Q230736,0,Sean Young,contributes
Q318231,0,William Mapother,contributes
Q318231,0,William Mapother,position-held
Q36107,0,Muhammad Ali,relationship
Q1372703,0,Hampton Fancher,equivalent-to
Q1372703,0,Hampton Fancher,contributes
Q1372703,0,Hampton Fancher,equivalent-to
Q1372703,0,Hampton Fancher,contributes
Q10731,0,Mick Foley,position-held
Q187085,0,Paul J. McAuley,contributes
Q684748,0,Lester del Rey,contributes
Q447879,0,Arlene Dahl,position-held
Q524386,0,Earl Bellamy,contributes
Q294185,0,David Arquette,position-held
Q129831,0,Elizabeth Berkley,position-held
Q18938,0,Thomas Jane,position-held
Q314926,0,John Waters,position-held
Q716552,0,Norman McLaren,position-held
Q716552,0,Norman McLaren,position-held
Q716552,0,Norman McLaren,position-held
Q126941,0,J. Michael Straczynski,contributes
Q462955,0,Susan Misner,position-held
Q462955,0,Susan Misner,contributes
Q3573163,0,Yukimasa Kishino,contributes
Q3573163,0,Yukimasa Kishino,position-held
Q418649,0,Akio Ōtsuka,contributes
Q418649,0,Akio Ōtsuka,position-held
Q1187760,0,Jūrōta Kosugi,contributes
Q1187760,0,Jūrōta Kosugi,position-held
Q49547,0,Fumiko Orikasa,contributes
Q49547,0,Fumiko Orikasa,position-held
Q1142856,0,Fumihiko Tachiki,contributes
Q1142856,0,Fumihiko Tachiki,position-held
Q1625322,0,Masaaki Tsukada,contributes
Q1625322,0,Masaaki Tsukada,position-held
Q1383899,0,John Chisum,geographicalRelation
Q6374029,0,Lawrence Murphy,geographicalRelation
Q6374029,0,Lawrence Murphy,opposite
Q6374029,0,Lawrence Murphy,opposite
Q6374029,0,Lawrence Murphy,geographicalRelation
Q6374029,0,Lawrence Murphy,opposite
Q6374029,0,Lawrence Murphy,opposite
Q80492,0,Gavrilo Princip,position-held
Q80492,0,Gavrilo Princip,position-held
Q80492,0,Gavrilo Princip,geographicalRelation
Q80492,0,Gavrilo Princip,position-held
Q80492,0,Gavrilo Princip,position-held
Q80492,0,Gavrilo Princip,geographicalRelation
Q964414,0,Trifko Grabež,position-held
Q964414,0,Trifko Grabež,position-held
Q964414,0,Trifko Grabež,geographicalRelation
Q964414,0,Trifko Grabež,position-held
Q964414,0,Trifko Grabež,position-held
Q964414,0,Trifko Grabež,geographicalRelation
Q254876,0,Eve Myles,contributes
Q254876,0,Eve Myles,position-held
Q254876,0,Eve Myles,equivalent-to
Q254876,0,Eve Myles,contributes
Q254876,0,Eve Myles,position-held
Q254876,0,Eve Myles,equivalent-to
Q934461,0,Gareth David-Lloyd,contributes
Q934461,0,Gareth David-Lloyd,position-held
Q3129345,0,Tommy Knight,contributes
Q3129345,0,Tommy Knight,position-held
Q2833080,0,Alexander Armstrong,contributes
Q2833080,0,Alexander Armstrong,position-held
Q2833080,0,Alexander Armstrong,equivalent-to
Q2833080,0,Alexander Armstrong,contributes
Q2833080,0,Alexander Armstrong,position-held
Q2833080,0,Alexander Armstrong,equivalent-to
Q2701959,0,Lamont Dozier,position-held
Q56094,0,Francis Ford Coppola,position-held
Q56094,0,Francis Ford Coppola,position-held
Q56094,0,Francis Ford Coppola,position-held
Q56094,0,Francis Ford Coppola,position-held
Q1618,0,Charles Lindbergh,position-held
Q1618,0,Charles Lindbergh,position-held
Q1618,0,Charles Lindbergh,position-held
Q550653,0,Max Wright,member
Q550653,0,Max Wright,position-held
Q550653,0,Max Wright,contributes
Q14313,0,Pharrell Williams,position-held
Q232876,0,Diana Rigg,contributes
Q232876,0,Diana Rigg,position-held
Q63586,0,Ilse Steppat,contributes
Q63586,0,Ilse Steppat,position-held
Q124446,0,Michele Besso,relationship
Q1636973,0,Stephen Samuel Wise,relationship
Q6050046,0,Oliver Coleman,relationship
Q2824489,0,Adjoa Andoh,position-held
Q2824489,0,Adjoa Andoh,contributes
Q544165,0,Penelope Wilton,position-held
Q544165,0,Penelope Wilton,contributes
Q206856,0,Angela Lansbury,position-held
Q62016,0,Otto Heckmann,position-held
Q62016,0,Otto Heckmann,position-held
Q214601,0,David Tennant,contributes
Q214601,0,David Tennant,position-held
Q214601,0,David Tennant,contributes
Q214601,0,David Tennant,position-held
Q214601,0,David Tennant,contributes
Q214601,0,David Tennant,position-held
Q214601,0,David Tennant,contributes
Q214601,0,David Tennant,position-held
Q254766,0,Catherine Tate,contributes
Q254766,0,Catherine Tate,position-held
Q254766,0,Catherine Tate,contributes
Q254766,0,Catherine Tate,position-held
Q254766,0,Catherine Tate,contributes
Q254766,0,Catherine Tate,position-held
Q254766,0,Catherine Tate,contributes
Q254766,0,Catherine Tate,position-held
Q24632,0,John Barrowman,contributes
Q24632,0,John Barrowman,position-held
Q151113,0,Billie Piper,contributes
Q151113,0,Billie Piper,position-held
Q151113,0,Billie Piper,contributes
Q151113,0,Billie Piper,position-held
Q151113,0,Billie Piper,contributes
Q151113,0,Billie Piper,position-held
Q151113,0,Billie Piper,contributes
Q151113,0,Billie Piper,position-held
Q380856,1,Richard E. Grant,contributes
Q380856,1,Richard E. Grant,position-held
Q185079,0,Jim Broadbent,position-held
Q185079,0,Jim Broadbent,contributes
Q185079,0,Jim Broadbent,position-held
Q185079,0,Jim Broadbent,position-held
Q185079,0,Jim Broadbent,contributes
Q185079,0,Jim Broadbent,position-held
Q163286,0,Hugh Grant,contributes
Q163286,0,Hugh Grant,position-held
Q254886,1,Joanna Lumley,contributes
Q254886,1,Joanna Lumley,position-held
Q134262,0,Tennessee Williams,position-held
Q90697,0,Georg Joos,position-held
Q90697,0,Georg Joos,position-held
Q90697,0,Georg Joos,position-held
Q90697,0,Georg Joos,position-held
Q107545,0,Otto Scherzer,position-held
Q267335,1,Shulamit Aloni,position-held
Q706526,1,David Avidan,equivalent-to
Q43723,1,Benjamin Netanyahu,equivalent-to
Q43723,1,Benjamin Netanyahu,opposite
Q43723,1,Benjamin Netanyahu,opposite
Q43723,1,Benjamin Netanyahu,equivalent-to
Q43723,1,Benjamin Netanyahu,opposite
Q43723,1,Benjamin Netanyahu,opposite
