person,label
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Puerto Rico,Q1183
Héctor Camacho,Q114355
--NME--,--NME--
Panama,Q804
"Atlantic City, New Jersey",Q139564
--NME--,--NME--
Jansher Khan,Q174595
Pakistan,Q843
Mark Cairns (squash player),Q6766964
--NME--,--NME--
--NME--,--NME--
Australia,Q408
Dan Jenson,Q3610466
Australia,Q408
Peter Nicol,Q719333
Scotland,Q22
Chris Walker (squash player),Q2920788
England,Q21
Rodney Eyles,Q336331
Australia,Q408
Derek Ryan (squash player),Q15805302
Ireland,Q22890
Sandrine Testud,Q259026
France,Q142
Inés Gorrochategui,Q271734
Argentina,Q414
Goran Ivanišević,Q204279
Croatia,Q224
Scott Draper,Q942937
Australia,Q408
Tim Henman,Q221737
United Kingdom,Q145
Doug Flach,Q463811
United Kingdom,Q145
Mark Philippoussis,Q310949
Australia,Q408
Andrei Olhovskiy,Q502583
Russia,Q159
Sjeng Schalken,Q469324
Netherlands,Q55
David Rikl,Q559917
Czech Republic,Q213
Guy Forget,Q560175
France,Q142
Félix Mantilla (tennis),Q449730
Spain,Q29
Alexander Volkov (tennis),Q710579
Russia,Q159
Mikael Tillström,Q1301386
Sweden,Q34
Jonas Björkman,Q310380
Sweden,Q34
--NME--,--NME--
South Africa,Q258
Lindsay Davenport,Q11677
--NME--,--NME--
Anne-Gaëlle Sidot,Q1563349
France,Q142
Conchita Martínez,Q232618
Spain,Q29
Helena Suková,Q229151
Czech Republic,Q213
Amanda Coetzer,Q233339
South Africa,Q258
Irina Spîrlea,Q265927
Romania,Q218
Cédric Pioline,Q162487
France,Q142
Roberto Carretero,Q1640440
Spain,Q29
Àlex Corretja,Q46308
Spain,Q29
--NME--,--NME--
Switzerland,Q39
Linda Wild,Q3241386
--NME--,--NME--
United States,Q30
Barbara Rittner,Q62208
Germany,Q183
Åsa Svensson,Q258930
Sweden,Q34
Gabriela Sabatini,Q105868
Pete Sampras,Q9446
--NME--,--NME--
Jiří Novák,Q356768
Czech Republic,Q213
Paul Haarhuis,Q29441
Netherlands,Q55
Michael Tebbutt,Q552674
Australia,Q408
Lisa Raymond,Q10129
--NME--,--NME--
Kimberly Po,Q297948
--NME--,--NME--
--NME--,--NME--
Germany,Q183
Thomas Johansson,Q277802
Sweden,Q34
Andriy Medvedev,Q355338
Ukraine,Q212
Ján Krošlák,Q1714777
Slovakia,Q214
Petr Korda,Q312717
Czech Republic,Q213
Bohdan Ulihrach,Q718178
Czech language,Q9056
Monica Seles,Q173633
--NME--,--NME--
Dally Randriantefy,Q264088
Madagascar,Q1019
Todd Martin,Q54536
--NME--,--NME--
Andrea Gaudenzi,Q201593
Italy,Q38
Stefan Edberg,Q189542
Sweden,Q34
Bernd Karbacher,Q73280
Germany,Q183
Andre Agassi,Q7407
--NME--,--NME--
MaliVai Washington,Q54691
Marcelo Ríos,Q272532
US Open (tennis),Q123577
--NME--,--NME--
--NME--,--NME--
"The Championships, Wimbledon",Q41520
Marcelo Ríos,Q272532
"The Championships, Wimbledon",Q41520
Jeff Tarango,Q957450
Andre Agassi,Q7407
--NME--,--NME--
Leander Paes,Q296282
--NME--,--NME--
Todd Martin,Q54536
--NME--,--NME--
--NME--,--NME--
"New Haven, Connecticut",Q49145
MaliVai Washington,Q54691
--NME--,--NME--
--NME--,--NME--
Washington Huskies baseball,Q7971946
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Jeff Tarango,Q957450
Jeff Tarango,Q957450
--NME--,--NME--
National Football League,Q1215884
American football,Q41323
Randall Cunningham,Q142656
Randall Cunningham,Q142656
National Football League,Q1215884
Randall Cunningham,Q142656
Philadelphia Eagles,Q219714
Pro Bowl,Q786705
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Philadelphia,Q1345
--NME--,--NME--
Philadelphia Eagles,Q219714
Philadelphia,Q1345
National Football League,Q1215884
Billy Andrade,Q330249
Duffy Waldorf,Q914196
Jesper Parnevik,Q1688112
Sweden,Q34
Neal Lancaster,Q6984132
Dave Barr (golfer),Q3057435
Canada,Q16
Mike Sullivan (ice hockey),Q1933555
--NME--,--NME--
--NME--,--NME--
Milwaukee,Q37836
Tiger Woods,Q10993
Nolan Henke,Q7048193
Greater Milwaukee Open,Q1776498
Tiger Woods,Q10993
--NME--,--NME--
Graeme Gibson,Q9275354
--NME--,--NME--
BirdLife International,Q210108
--NME--,--NME--
Camerimage,Q1506776
--NME--,--NME--
Lambaréné,Q874197
--NME--,--NME--
Chinua Achebe,Q155845
Joseph Conrad,Q82925
Novel,Q8261
Heart of Darkness,Q129778
--NME--,--NME--
--NME--,--NME--
Libretto,Q131084
The Veiled Prophet (opera),Q65075380
Romantic music,Q207591
Charles Villiers Stanford,Q368264
Thomas Moore,Q315346
Lalla-Rookh,Q4253416
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Esaias Tegnér,Q366765
--NME--,--NME--
Lund Cathedral,Q1236689
Sweden,Q34
--NME--,--NME--
Play (theatre),Q25379
--NME--,--NME--
Johann Wolfgang von Goethe,Q5879
Johann Gottlieb Fichte,Q102585
Friedrich Wilhelm Joseph Schelling,Q60070
--NME--,--NME--
Jean Anouilh,Q179025
Nobel Prize in Literature,Q37922
John Steinbeck,Q39212
Robert Graves,Q201732
Lawrence Durrell,Q219784
Karen Blixen,Q182804
William Veeder,Q8019701
Carmilla,Q1043792
Henry James,Q170509
The Turn of the Screw,Q625923
--NME--,--NME--
L. Sprague de Camp,Q316313
Lin Carter,Q1248054
Gnome Press,Q5574338
--NME--,--NME--
Allen Ginsberg,Q6711
Timothy Leary,Q211731
Ken Kesey,Q244390
Hunter S. Thompson,Q219780
Bob Dylan,Q392
Timothy Leary,Q211731
Richard Alpert (artist),Q7323705
"Millbrook, New York",Q3178628
--NME--,--NME--
--NME--,--NME--
Alan Watts,Q354867
The Realist,Q7759687
William S. Burroughs,Q188176
Allen Ginsberg,Q6711
Free University of New York,Q5500136
Anarchism,Q6199
--NME--,--NME--
Robert Coover,Q1282338
Short story,Q49084
--NME--,--NME--
Robert Coover,Q1282338
--NME--,--NME--
Glen David Gold,Q15493626
Sunnyside (novel),Q7640874
Historical fiction,Q1196408
World War I,Q361
Tolkien's Legendarium,Q81738
The Tolkien Reader,Q4264977
Tales from the Perilous Realm,Q4264977
--NME--,--NME--
Novel,Q8261
Satire,Q128758
The Rebel Angels,Q7759745
What's Bred in the Bone,Q7990745
Booker Prize,Q160082
The Caine Mutiny,Q305415
Pulitzer Prize,Q46525
Novel,Q8261
Herman Wouk,Q49072
W. H. Auden,Q178698
The Age of Anxiety,Q7712834
Poetry,Q482
English language,Q1860
Boris Pasternak,Q41223
Olga Ivinskaya,Q509174
Novy Mir,Q2469587
Hong Kong,Q8646
Hainan,Q42200
Mainland China,Q19188
Vietnam,Q881
White's Ferry,Q7994241
Potomac River,Q179444
Virginia,Q1370
Father's Day (United States),Q17019969
H. P. Lovecraft,Q169566
"Providence, Rhode Island",Q18383
Rhode Island,Q1387
--NME--,--NME--
The New Republic,Q1329873
--NME--,--NME--
--NME--,--NME--
Connecticut,Q779
John Webster (governor),Q1701495
--NME--,--NME--
William Bradford (governor),Q1210370
Plymouth Colony,Q126195
Noah Webster,Q241676
--NME--,--NME--
--NME--,--NME--
National Book Award for Fiction,Q3873144
National Book Award,Q572316
--NME--,--NME--
American Book Awards,Q463606
--NME--,--NME--
Tim O'Brien (author),Q1289151
Going After Cacciato,Q5577743
Arthur Schopenhauer,Q38193
Thomas Mann,Q37030
Afanasy Fet,Q314212
Joris-Karl Huysmans,Q210798
George Santayana,Q237833
Ansgar,Q110299
Denmark,Q35
Norway,Q20
Sweden,Q34
--NME--,--NME--
--NME--,--NME--
Thomas Hardy,Q132805
--NME--,--NME--
Jude the Obscure,Q1248773
--NME--,--NME--
Ford Madox Ford,Q537112
Ford Madox Ford,Q537112
The Good Soldier,Q767802
The London Magazine,Q2154323
--NME--,--NME--
William Blake,Q41513
John Donne,Q140412
Gerard Manley Hopkins,Q313693
T. S. Eliot,Q37767
Dune (novel),Q190192
Roger Zelazny,Q295406
This Immortal,Q2567510
Hugo Award,Q188914
Andrei Sakharov,Q997
Nobel Peace Prize,Q35637
Prix mondial Cino Del Duca,Q1735057
--NME--,--NME--
Book of Common Prayer,Q784710
Devices and Desires,Q5267032
The Children of Men,Q582825
Alfonso Cuarón,Q28028
Children of Men,Q221090
--NME--,--NME--
Chicago,Q1297
Ferdinand (The Tempest),Q5443792
The Tempest,Q86440
Goodman Theatre,Q5583472
Autobiography,Q4184
Boris Pasternak,Q41223
Titsian Tabidze,Q144077
Marina Tsvetaeva,Q188526
Paolo Iashvili,Q2669133
--NME--,--NME--
Academy Awards,Q19020
All Quiet on the Western Front (1930 film),Q272599
--NME--,--NME--
Erich Maria Remarque,Q47293
--NME--,--NME--
India,Q668
Nepal,Q837
Aung San Suu Kyi,Q36740
Nikita Khrushchev,Q35314
Cancer Ward,Q1093483
--NME--,--NME--
The Gulag Archipelago,Q369944
Soviet Union,Q15180
Aleksandr Solzhenitsyn,Q34474
Soviet nationality law,Q65084629
--NME--,--NME--
Brooklyn Heights,Q828553
Tad Friend,Q7674225
The New Yorker,Q217305
Poetry,Q482
Fragments of Olympian Gossip,Q5477731
Peter Viereck,Q559567
Biography of Nikola Tesla,Q9036
Possible Worlds,Q40485
--NME--,--NME--
--NME--,--NME--
National Geographic (American TV channel),Q157118
Vladimir Nabokov,Q36591
Novel,Q8261
--NME--,--NME--
North America,Q49
Russian Empire,Q34266
--NME--,--NME--
Philip K. Dick,Q171091
--NME--,--NME--
--NME--,--NME--
Chinese language,Q7850
Japanese language,Q5287
Ezra Pound,Q163366
Long poem,Q1294238
Mountains and Rivers Without End,Q6925688
The Cantos,Q2701465
Friedrich Nietzsche,Q9358
On the Genealogy of Morality,Q230302
The Will to Power (manuscript),Q6581071
Twilight of the Idols,Q1296318
The Antichrist (book),Q538396
Catullus,Q163079
Sappho,Q17892
Sapphic stanza,Q545332
Catullus 11,Q18205874
Horace,Q6197
Bernard Miles,Q822610
--NME--,--NME--
Ben Gunn (Treasure Island),Q4885761
Mermaid Theatre,Q6819864
Treasure Island (1978 TV series),Q709637
Ernest Thompson Seton,Q505017
Bannertail,Q4856964
Japan,Q17
Nobel Prize in Literature,Q37922
--NME--,--NME--
Anders Österling,Q491355
Sinclair Lewis,Q123469
--NME--,--NME--
S. T. Joshi,Q625272
The Seven Who Were Hanged,Q1967576
Leonid Andreyev,Q310866
A Strange Manuscript Found in a Copper Cylinder,Q4659834
James De Mille,Q1680258
Albert Einstein,Q937
Upton Sinclair,Q216134
Charlie Chaplin,Q882
Pacifism,Q58848
Andrei Tarkovsky,Q853
Cannes Film Festival,Q42369
International Federation of Film Critics,Q253988
Prize of the Ecumenical Jury,Q2503453
Grand Jury Prize (Venice Film Festival),Q944480
Grand Prix (Cannes Film Festival),Q844804
Golden Lion,Q209459
Venice Film Festival,Q49024
Gwendolyn Brooks,Q270715
Pulitzer Prize,Q46525
Pulitzer Prize for Fiction,Q833633
--NME--,--NME--
Daniel Handler,Q1060636
A Series of Unfortunate Events,Q213841
Eoin Colfer,Q211893
Artemis Fowl,Q325283
Philip Pullman,Q190220
His Dark Materials,Q129240
J. K. Rowling,Q34660
Harry Potter,Q8337
George Orwell,Q3335
United Kingdom,Q145
Allies of World War II,Q329888
Soviet Union,Q15180
Nazi Germany,Q7318
--NME--,--NME--
Joseph Stalin,Q855
George Orwell,Q3335
Amos (prophet),Q213850
Jeroboam II,Q313232
Israel,Q801
Uzziah,Q313216
Kingdom of Judah,Q48685
Jorge Luis Borges,Q909
Book of Imaginary Beings,Q2529048
Fiction,Q8253
--NME--,--NME--
Peter Sculthorpe,Q924162
Rites of Passage (Sculthorpe),Q7336717
Sydney Opera House,Q45178
St. Nicholas Magazine,Q7590838
Beatrix Potter,Q214565
Novel,Q8261
Gene Stratton-Porter,Q5531480
Herman Melville,Q4985
Joseph Conrad,Q82925
Robert Louis Stevenson,Q1512
--NME--,--NME--
Matthew Arnold,Q271032
Mary Augusta Ward,Q952452
Talbot Jennings,Q2389962
Tess Slesinger,Q7705575
Claudine West,Q1097965
Owen Davis,Q1321778
Donald Davis (writer),Q5294229
The Good Earth,Q1218608
Nobel Prize in Literature,Q37922
Pearl S. Buck,Q80900
--NME--,--NME--
Motion picture credits,Q4458345
Pride and Prejudice (1940 film),Q940014
Jane Eyre,Q182961
New York City,Q60
Hydra Club,Q18350502
--NME--,--NME--
New York City,Q60
Science fiction,Q24925
Isaac Asimov,Q34981
James Blish,Q248867
Anthony Boucher,Q246303
Avram Davidson,Q782991
Judith Merril,Q276304
--NME--,--NME--
A Generation,Q1306396
Kanał,Q94792
Jury Prize (Cannes Film Festival),Q164200
Cannes Film Festival,Q42369
Ingmar Bergman,Q7546
Ingrid Bergman,Q43247
The Seventh Seal,Q217189
Ashes and Diamonds (film),Q722281
Sandrine Bonnaire,Q232937
Bruno Ganz,Q123206
--NME--,--NME--
Ian Bonar,
Prague (1992 film),Q7237655
Cannes Film Festival,Q42369
Cannes Film Festival Award for Best Actor,Q586140
Atlantic Film Festival,Q4816430
The Great Hunt,Q470229
Fantasy literature,Q1057172
United States,Q30
Robert Jordan,Q166351
The Wheel of Time,Q4470
--NME--,--NME--
World Fantasy Award,Q594886
Fantasy literature,Q1057172
Last Call (novel),Q610680
Declare,Q5249488
Fritz Leiber,Q313185
--NME--,--NME--
Paratime series,Q7136159
Hugo Award,Q188914
The Big Time (novel),Q3209683
Richard C. Meredith,Q3934775
Timeliner,Q7806482
Michael McCollum,Q1356435
--NME--,--NME--
John Barnes (author),Q682767
Dracula,Q41542
--NME--,--NME--
Ármin Vámbéry,Q557360
History of the Jews in Hungary,Q469544
Svätý Jur,Q247240
Kingdom of Hungary,Q171150
Svätý Jur,Q247240
Slovakia,Q214
Michael Wigglesworth,Q1632530
Puritans,Q137073
--NME--,--NME--
The Day of Doom,Q7729209
New England,Q18389
Mario Puzo,Q182870
Speculative fiction,Q9326077
The Fourth K,Q3284451
John F. Kennedy,Q9696
--NME--,--NME--
"Thomas Erskine, 1st Baron Erskine",Q332672
--NME--,--NME--
The Bridal of Triermain,Q3232602
--NME--,--NME--
--NME--,--NME--
The Spectator (1711),Q581322
Alexander Pope,Q164047
The Rape of the Lock,Q1823920
--NME--,--NME--
--NME--,--NME--
Cathay (poetry collection),Q15838969
--NME--,--NME--
Japanese language,Q5287
Tang dynasty,Q9683
Chinese poetry,Q1069928
Li Bai,Q7071
--NME--,--NME--
China,Q148
Japan,Q17
--NME--,--NME--
Royal Society,Q123885
--NME--,--NME--
Royal Irish Academy,Q110587
Geological Society of London,Q1230936
Athanasius of Alexandria,Q44024
Egypt,Q79
Libya,Q1016
Aron Nimzowitsch,Q295114
Hans Kmoch,Q517908
Wiener Schachzeitung,Q875601
Chanson de geste,Q651019
Macaire,Q6722438
Entrée d'Espagne,Q5380838
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Novel,Q8261
The Blind Assassin,Q1198405
Booker Prize,Q160082
Dante Alighieri,Q1067
Limbo,Q270710
Divine Comedy,Q40185
Virgil,Q1398
Averroes,Q39837
Homer,Q6691
Horace,Q6197
Ovid,Q7198
Lucan,Q188646
Socrates,Q913
Plato,Q859
Saladin,Q8581
Tamsin Greig,Q3119814
Nicky Henson,Q15497351
Napoleon (Animal Farm),Q1063221
Toby Jones,Q342419
Squealer (Animal Farm),Q7582200
Ralph Ineson,Q1272489
--NME--,--NME--
The Door into Summer,Q427331
--NME--,--NME--
--NME--,--NME--
Robert A. Heinlein,Q123078
The Magazine of Fantasy & Science Fiction,Q937202
Kelly Freas,Q176560
The Spectator,Q1790750
Graham Greene,Q128560
--NME--,--NME--
Luchino Visconti,Q13888
Burt Lancaster,Q160528
Alain Delon,Q106529
Claudia Cardinale,Q107006
Palme d'Or,Q179808
Cannes Film Festival,Q42369
--NME--,--NME--
Ira Levin,Q317631
Kay Nolte Smith,Q6380259
L. Neil Smith,Q1797785
Erika Holzer,Q5388971
Terry Goodkind,Q366150
Franz Liszt,Q41309
Wendelin Weißheimer,Q1430386
Friedrich Schiller,Q22670
Ritter Toggenburg,Q2155094
Heaven (2002 film),Q705887
Tom Tykwer,Q57231
Berlin International Film Festival,Q130871
Novel,Q8261
--NME--,--NME--
Count Belisarius,Q1137044
Byzantine Empire,Q12544
Belisarius,Q174943
Kingdom of France,Q70972
Kingdom of England,Q179876
Holy Roman Empire,Q12548
Kingdom of Portugal,Q45670
Kingdom of Castile,Q179293
Kingdom of Aragon,Q199442
Pope Innocent II,Q170386
--NME--,--NME--
Kingdom of Italy,Q172579
--NME--,--NME--
Kingdom of Sicily,Q188586
Latin Patriarchate of Constantinople,Q1296901
Latin Patriarchate of Constantinople,Q1296901
Latin Patriarchate of Antioch,Q8334244
Latin Patriarchate of Jerusalem,Q530906
--NME--,--NME--
Peter Hall (director),Q769414
Alan Ayckbourn,Q712848
Bedroom Farce (play),Q813947
"Rose Theatre, Kingston",Q7367951
Pantomime,Q13409536
Snow White and the Seven Dwarfs (musical),Q7548357
Richmond Theatre,Q7331011
David Lardner,Q61685007
The New Yorker,Q217305
Aachen,Q1017
Germany,Q183
--NME--,--NME--
National Book Award,Q572316
--NME--,--NME--
Jacqueline Woodson,Q6120237
Colin Turnbull,Q2982661
--NME--,--NME--
The Forest People,Q7734787
Mbuti people,Q3039820
--NME--,--NME--
Ik people,Q485273
Ethnomusicology,Q208365
David Amram,Q1173090
Bob Kaufman,Q888034
Diane di Prima,Q438891
Jim Cohn,Q3808323
Black Mountain College,Q880447
Charles Olson,Q922978
Robert Creeley,Q918620
Denise Levertov,Q272042
New York School (art),Q1972942
Frank O'Hara,Q951010
Kenneth Koch,Q2708628
English Renaissance,Q2272912
--NME--,--NME--
Melissa Scott,Q1919410
Lisa A. Barnett,Q1827698
John Dee,Q201484
Renaissance,Q4692
Alternate history,Q224989
Philip Sidney,Q315509
Battle of Zutphen,Q2890458
Christopher Marlowe,Q28975
Benjamin Disraeli,Q82006
Fashionable novel,Q5436789
Regency novel,Q7308027
Vivian Grey,Q7937713
--NME--,--NME--
Folkways Records,Q1435522
Smithsonian Institution,Q131626
--NME--,--NME--
Michael Specter,Q2356503
The New Yorker,Q217305
--NME--,--NME--
--NME--,--NME--
National Book Award for Fiction,Q3873144
Novel,Q8261
The Moviegoer,Q7752560
The Letterman Foundation for Courtesy and Grooming,Q4743849
David Letterman,Q217298
Indiana,Q1415
Montana,Q1212
Paul Newman,Q41871
Hole in the Wall Gang Camp,Q5880049
Ball State University,Q805122
American Cancer Society,Q463665
The Salvation Army,Q188307
Médecins Sans Frontières,Q49330
King Missile,Q1495650
John S. Hall,Q6256281
--NME--,--NME--
Nuyorican Poets Café,Q1142721
Alfonso Cuarón,Q28028
Academy Award for Best Film Editing,Q281939
--NME--,--NME--
Academy Award for Best Adapted Screenplay,Q107258
Ian Angus (librarian),Q16148208
--NME--,--NME--
Freedom of the Press (report),Q655729
Bernard Crick,Q2897748
The Times Literary Supplement,Q1768060
Lerner and Loewe,Q1820298
Lerner and Loewe,Q1820298
Colette,Q218679
Academy Awards,Q19020
Gigi (1958 film),Q577757
Leslie Caron,Q230023
Louis Jourdan,Q364083
Maurice Chevalier,Q106001
Susanna Moodie,Q1396169
Catharine Parr Traill,Q455349
--NME--,--NME--
Upper Canada,Q795427
The Dial,Q7730061
T. S. Eliot,Q37767
Ulysses (novel),Q6511
Oswald Spengler,Q57112
Munich,Q1726
Ludwig van Beethoven,Q255
Molière,Q687
William Shakespeare,Q692
Turkey,Q43
--NME--,--NME--
--NME--,--NME--
Hunter S. Thompson,Q219780
Fear and Loathing in Las Vegas,Q772435
Rolling Stone,Q33511
Counterculture of the 1960s,Q2995893
George W. Bush,Q207
--NME--,--NME--
--NME--,--NME--
First International Bank,Q5453099
Houston,Q16555
Council on Foreign Relations,Q594712
--NME--,--NME--
Alan M. Wald,Q29583218
--NME--,--NME--
Communist Party USA,Q308714
--NME--,--NME--
Matt Wayne,Q6789495
--NME--,--NME--
National Book Critics Circle Award,Q1505018
George Mills (writer),Q5542499
Mrs. Ted Bliss,Q29097705
Novel,Q8261
Nobel Prize in Literature,Q37922
Thomas Mann,Q37030
George Bernard Shaw,Q19185
Thomas Hardy,Q132805
Anders Österling,Q491355
Swedish Academy,Q207360
--NME--,--NME--
Seattle,Q5083
Bumbershoot,Q4997241
West Coast of the United States,Q12606
The Fillmore,Q1348537
San Francisco,Q62
"Boulder, Colorado",Q192517
Colorado,Q1261
Beat Generation,Q213457
Allen Ginsberg,Q6711
Yale University,Q49112
Helicon Home Colony,Q13582218
Upton Sinclair,Q216134
"Englewood, New Jersey",Q986210
--NME--,--NME--
New Jersey,Q1408
Augustus,Q1405
Egypt (Roman province),Q202311
Dalmatia (Roman province),Q1330965
Pannonia,Q170062
Noricum,Q131434
Raetia,Q156789
Africa (Roman province),Q181238
Early Imperial campaigns in Germania,Q3348645
Germania,Q62646
Allan Gotthelf,Q4730637
--NME--,--NME--
David Kelley,Q5235902
American Philosophical Society,Q466089
American Philosophical Association,Q466035
Avicenna,Q8011
Samanid Empire,Q12150341
Balkh Province,Q121104
Afghanistan,Q889
--NME--,--NME--
The House of Mirth (2000 film),Q129037
Eric Stoltz,Q318267
Terence Davies,Q773523
Edith Wharton,Q276032
--NME--,--NME--
The House of Mirth,Q6474536
The House of Mirth,Q6474536
BAFTA Award for Best Actress in a Leading Role,Q687123
Village Voice Film Poll,Q3387526
Anthony Burgess,Q217619
Novel,Q8261
Devil of a State,Q5267344
Brunei,Q921
--NME--,--NME--
Zanzibar,Q1774
--NME--,--NME--
--NME--,--NME--
Tony Award,Q191874
Tony Award for Best Actress in a Play,Q185299
--NME--,--NME--
Thornton Wilder,Q155087
The Matchmaker,Q7750649
--NME--,--NME--
Edinburgh,Q23436
Berlin,Q64
Broadway theatre,Q235065
--NME--,--NME--
Frederick Knott,Q4354150
Wait Until Dark,Q1050101
Ethel Barrymore Theatre,Q5403074
French language,Q150
Joseph Conrad,Q82925
Heart of Darkness,Q129778
Lord Jim,Q727408
Billboard (magazine),Q485240
Avril Lavigne,Q30449
Fly (Avril Lavigne song),Q19794141
2015 Special Olympics World Summer Games,Q4630310
H. P. Lovecraft,Q169566
Cthulhu Mythos cults,Q621596
At the Mountains of Madness,Q786586
--NME--,--NME--
Shadow of the Comet,Q1155168
Robinson Crusoe,Q483034
Gulliver's Travels,Q181488
Fairy tale,Q699
Hans Christian Andersen,Q5673
Madame d'Aulnoy,Q260006
One Thousand and One Nights,Q8258
Poems by Edgar Allan Poe,Q23807857
Edgar Allan Poe,Q16867
--NME--,--NME--
The Frozen Deep,Q7735382
Wilkie Collins,Q210740
Johnny Gruelle,Q6266817
Raggedy Ann,Q2095216
James Whitcomb Riley,Q770177
--NME--,--NME--
The Raggedy Man,Q7759275
Little Orphant Annie,Q6651249
--NME--,--NME--
--NME--,--NME--
Poland,Q36
Ignacy Krasicki,Q380545
Azerbaijan,Q227
Mirza Alakbar Sabir,Q2651897
Portugal,Q45
Manuel Maria Barbosa du Bocage,Q630116
American poetry,Q3099146
W. S. Merwin,Q680368
--NME--,--NME--
Clare Cavanagh,Q20807141
Fredric Brown,Q363227
Pulp magazine,Q865585
What Mad Universe,Q2527122
Algernon Blackwood,Q507991
Arthur Machen,Q540166
--NME--,--NME--
Hermetic Qabalah,Q1613576
Hermetic Order of the Golden Dawn,Q368173
Isaac Asimov,Q34981
Short story,Q49084
The Complete Robot,Q923895
Frankenstein,Q150827
--NME--,--NME--
Grammy Award for Best Spoken Word Album,Q5593890
Our Endangered Values,Q16909467
--NME--,--NME--
--NME--,--NME--
Kamel Daoud,Q3192364
Novel,Q8261
The Meursault Investigation,Q20723935
Algeria,Q262
France,Q142
Thomas Pynchon,Q35155
Cornell University,Q49115
Jules Siegel,Q16019560
Playboy,Q150820
Kenneth Branagh,Q55294
Venice Film Festival,Q49024
Nobel Prize in Literature,Q37922
Harold Pinter,Q41042
Ancient Greek literature,Q657246
Sappho,Q17892
Callimachus,Q192417
Catullus,Q163079
--NME--,--NME--
